Date,TRDPRC_1
2016-01-01,432.8
2016-01-02,433.69
2016-01-03,427.79
2016-01-04,434.64
2016-01-05,432.39
2016-01-06,430.86
2016-01-07,455.07
2016-01-08,453.34
2016-01-09,449.27
2016-01-10,445.29
2016-01-11,447.27
2016-01-12,445.29
2016-01-13,430.19
2016-01-14,430.02
2016-01-15,379.34
2016-01-16,381.88
2016-01-17,385.69
2016-01-18,383.23
2016-01-19,378.87
2016-01-20,407.39
2016-01-21,407.14
2016-01-22,378.75
2016-01-23,389.9
2016-01-24,401.36
2016-01-25,391.69
2016-01-26,392.99
2016-01-27,393.99
2016-01-28,381.96
2016-01-29,374.64
2016-01-30,377.53
2016-01-31,378.08
2016-02-01,371.74
2016-02-02,374.38
2016-02-03,367.88
2016-02-04,387.58
2016-02-05,386.29
2016-02-06,376.01
2016-02-07,377.39
2016-02-08,374.23
2016-02-09,375.0
2016-02-10,381.47
2016-02-11,377.73
2016-02-12,383.71
2016-02-13,389.97
2016-02-14,404.35
2016-02-15,399.08
2016-02-16,406.4
2016-02-17,419.18
2016-02-18,421.06
2016-02-19,419.34
2016-02-20,438.18
2016-02-21,438.13
2016-02-22,436.38
2016-02-23,419.96
2016-02-24,423.69
2016-02-25,422.92
2016-02-26,426.3
2016-02-27,431.43
2016-02-28,431.63
2016-02-29,435.03
2016-03-01,433.3
2016-03-02,425.95
2016-03-03,420.28
2016-03-04,412.4
2016-03-05,402.42
2016-03-06,408.8
2016-03-07,413.05
2016-03-08,412.25
2016-03-09,411.39
2016-03-10,415.23
2016-03-11,419.54
2016-03-12,410.17
2016-03-13,413.12
2016-03-14,414.1
2016-03-15,415.24
2016-03-16,415.94
2016-03-17,418.11
2016-03-18,407.34
2016-03-19,406.56
2016-03-20,411.51
2016-03-21,411.21
2016-03-22,416.19
2016-03-23,417.9
2016-03-24,415.04
2016-03-25,415.25
2016-03-26,416.76
2016-03-27,425.12
2016-03-28,421.88
2016-03-29,413.87
2016-03-30,412.78
2016-03-31,416.17
2016-04-01,415.69
2016-04-02,419.03
2016-04-03,418.52
2016-04-04,418.9
2016-04-05,421.33
2016-04-06,421.03
2016-04-07,420.65
2016-04-08,416.89
2016-04-09,417.74
2016-04-10,420.93
2016-04-11,421.67
2016-04-12,424.77
2016-04-13,422.8
2016-04-14,424.3
2016-04-15,429.25
2016-04-16,429.09
2016-04-17,426.13
2016-04-18,427.03
2016-04-19,431.06
2016-04-20,442.97
2016-04-21,448.91
2016-04-22,445.07
2016-04-23,448.6
2016-04-24,457.04
2016-04-25,465.41
2016-04-26,466.55
2016-04-27,451.27
2016-04-28,446.45
2016-04-29,454.92
2016-04-30,450.99
2016-05-01,453.35
2016-05-02,445.41
2016-05-03,449.9
2016-05-04,445.13
2016-05-05,448.13
2016-05-06,458.84
2016-05-07,459.61
2016-05-08,457.94
2016-05-09,459.93
2016-05-10,451.3
2016-05-11,452.45
2016-05-12,452.23
2016-05-13,456.12
2016-05-14,456.54
2016-05-15,458.91
2016-05-16,454.07
2016-05-17,454.13
2016-05-18,455.03
2016-05-19,443.57
2016-05-20,442.34
2016-05-21,443.64
2016-05-22,440.72
2016-05-23,443.94
2016-05-24,445.96
2016-05-25,449.97
2016-05-26,453.33
2016-05-27,469.56
2016-05-28,512.83
2016-05-29,513.69
2016-05-30,530.64
2016-05-31,519.39
2016-06-01,533.71
2016-06-02,535.87
2016-06-03,570.51
2016-06-04,574.07
2016-06-05,569.51
2016-06-06,582.27
2016-06-07,577.02
2016-06-08,580.13
2016-06-09,572.93
2016-06-10,578.19
2016-06-11,583.66
2016-06-12,672.4
2016-06-13,688.87
2016-06-14,689.16
2016-06-15,692.53
2016-06-16,762.21
2016-06-17,754.49
2016-06-18,748.14
2016-06-19,759.79
2016-06-20,740.74
2016-06-21,654.39
2016-06-22,618.64
2016-06-23,611.31
