Date,TRDPRC_1
2016-01-01,0.9195
2016-01-02,1.11
2016-01-03,0.9605
2016-01-04,0.92
2016-01-05,0.9426
2016-01-06,0.95
2016-01-07,1.25
2016-01-08,0.98
2016-01-09,0.995
2016-01-10,1.0
2016-01-11,1.08
2016-01-12,1.13
2016-01-13,1.14
2016-01-14,1.15
2016-01-15,1.25
2016-01-16,1.22
2016-01-17,1.28
2016-01-18,1.47
2016-01-19,1.34
2016-01-20,1.56
2016-01-21,1.45
2016-01-22,1.51
2016-01-23,1.9
2016-01-24,2.1
2016-01-25,2.43
2016-01-26,2.03
2016-01-27,2.56
2016-01-28,2.55
2016-01-29,2.45
2016-01-30,2.48
2016-01-31,2.2
2016-02-01,2.25
2016-02-02,2.19
2016-02-03,2.53
2016-02-04,2.57
2016-02-05,2.52
2016-02-06,2.53
2016-02-07,2.99
2016-02-08,3.07
2016-02-09,3.69
2016-02-10,4.12
2016-02-11,5.8
2016-02-12,5.44
2016-02-13,4.88
2016-02-14,5.22
2016-02-15,5.15
2016-02-16,4.26
2016-02-17,3.87
2016-02-18,4.23
2016-02-19,4.56
2016-02-20,4.37
2016-02-21,4.41
2016-02-22,5.48
2016-02-23,5.59
2016-02-24,6.15
2016-02-25,5.93
2016-02-26,5.78
2016-02-27,6.31
2016-02-28,6.5
2016-02-29,6.28
2016-03-01,7.5
2016-03-02,8.36
2016-03-03,9.65
2016-03-04,9.95
2016-03-05,11.36
2016-03-06,10.3
2016-03-07,9.4
2016-03-08,9.8
2016-03-09,11.75
2016-03-10,11.15
2016-03-11,11.34
2016-03-12,13.36
2016-03-13,14.7
2016-03-14,13.4
2016-03-15,12.75
2016-03-16,13.01
2016-03-17,11.57
2016-03-18,10.43
2016-03-19,10.15
2016-03-20,10.25
2016-03-21,11.88
2016-03-22,11.55
2016-03-23,12.29
2016-03-24,11.02
2016-03-25,10.63
2016-03-26,10.95
2016-03-27,10.55
2016-03-28,11.39
2016-03-29,11.69
2016-03-30,12.0
2016-03-31,11.35
2016-04-01,11.64
2016-04-02,11.54
2016-04-03,11.54
2016-04-04,11.27
2016-04-05,10.33
2016-04-06,10.83
2016-04-07,10.2
2016-04-08,9.89
2016-04-09,9.37
2016-04-10,8.7
2016-04-11,8.64
2016-04-12,7.53
2016-04-13,8.49
2016-04-14,8.39
2016-04-15,8.28
2016-04-16,8.39
2016-04-17,9.5
2016-04-18,8.97
2016-04-19,8.85
2016-04-20,8.4
2016-04-21,8.26
2016-04-22,8.0
2016-04-23,8.48
2016-04-24,7.98
2016-04-25,7.37
2016-04-26,7.49
2016-04-27,7.86
2016-04-28,7.39
2016-04-29,7.42
2016-04-30,9.03
2016-05-01,8.87
2016-05-02,9.92
2016-05-03,9.45
2016-05-04,9.39
2016-05-05,9.85
2016-05-06,9.19
2016-05-07,9.22
2016-05-08,9.42
2016-05-09,9.16
2016-05-10,9.56
2016-05-11,9.94
2016-05-12,10.19
2016-05-13,10.41
2016-05-14,10.12
2016-05-15,10.03
2016-05-16,11.19
2016-05-17,12.16
2016-05-18,12.86
2016-05-19,14.3
