,0
0,2017-09-08
1,2017-09-09
2,2017-09-10
3,2017-09-11
4,2017-09-12
5,2017-09-13
6,2017-09-14
7,2017-09-15
8,2017-09-16
9,2017-09-17
10,2017-09-18
11,2017-09-19
12,2017-09-20
13,2017-09-21
14,2017-09-22
15,2017-09-23
16,2017-09-24
17,2017-09-25
18,2017-09-26
19,2017-09-27
20,2017-09-28
21,2017-09-29
22,2017-09-30
23,2017-10-01
24,2017-10-02
25,2017-10-03
26,2017-10-04
27,2017-10-05
28,2017-10-06
29,2017-10-07
30,2017-10-08
31,2017-10-09
32,2017-10-10
33,2017-10-11
34,2017-10-12
35,2017-10-13
36,2017-10-14
37,2017-10-15
38,2017-10-16
39,2017-10-17
40,2017-10-18
41,2017-10-19
42,2017-10-20
43,2017-10-21
44,2017-10-22
45,2017-10-23
46,2017-10-24
47,2017-10-25
48,2017-10-26
49,2017-10-27
50,2017-10-28
51,2017-10-29
52,2017-10-30
53,2017-10-31
54,2017-11-01
55,2017-11-02
56,2017-11-03
57,2017-11-04
58,2017-11-05
59,2017-11-06
60,2017-11-07
61,2017-11-08
62,2017-11-09
63,2017-11-10
64,2017-11-11
65,2017-11-12
66,2017-11-13
67,2017-11-14
68,2017-11-15
69,2017-11-16
70,2017-11-17
71,2017-11-18
72,2017-11-19
73,2017-11-20
74,2017-11-21
75,2017-11-22
76,2017-11-23
77,2017-11-24
78,2017-11-25
79,2017-11-26
80,2017-11-27
81,2017-11-28
82,2017-11-29
83,2017-11-30
84,2017-12-01
85,2017-12-02
86,2017-12-03
87,2017-12-04
88,2017-12-05
89,2017-12-06
90,2017-12-07
91,2017-12-08
92,2017-12-09
93,2017-12-10
94,2017-12-11
95,2017-12-12
96,2017-12-13
97,2017-12-14
98,2017-12-15
99,2017-12-16
100,2017-12-17
101,2017-12-18
102,2017-12-19
103,2017-12-20
104,2017-12-21
105,2017-12-22
106,2017-12-23
107,2017-12-24
108,2017-12-25
109,2017-12-26
110,2017-12-27
111,2017-12-28
112,2017-12-29
113,2017-12-30
114,2017-12-31
115,2018-01-01
116,2018-01-02
117,2018-01-03
118,2018-01-04
119,2018-01-05
120,2018-01-06
121,2018-01-07
122,2018-01-08
123,2018-01-09
124,2018-01-10
125,2018-01-11
126,2018-01-12
127,2018-01-13
128,2018-01-14
129,2018-01-15
130,2018-01-16
131,2018-01-17
132,2018-01-18
133,2018-01-19
134,2018-01-20
135,2018-01-21
136,2018-01-22
137,2018-01-23
138,2018-01-24
139,2018-01-25
140,2018-01-26
141,2018-01-27
142,2018-01-28
143,2018-01-29
144,2018-01-30
145,2018-01-31
146,2018-02-01
147,2018-02-02
148,2018-02-03
149,2018-02-04
150,2018-02-05
151,2018-02-06
152,2018-02-07
153,2018-02-08
154,2018-02-09
155,2018-02-10
156,2018-02-11
157,2018-02-12
158,2018-02-13
159,2018-02-14
160,2018-02-15
161,2018-02-16
162,2018-02-17
163,2018-02-18
164,2018-02-19
165,2018-02-20
166,2018-02-21
167,2018-02-22
168,2018-02-23
169,2018-02-24
170,2018-02-25
171,2018-02-26
172,2018-02-27
173,2018-02-28
174,2018-03-01
175,2018-03-02
176,2018-03-03
177,2018-03-04
178,2018-03-05
179,2018-03-06
180,2018-03-07
181,2018-03-08
182,2018-03-09
183,2018-03-10
184,2018-03-11
185,2018-03-12
186,2018-03-13
187,2018-03-14
188,2018-03-15
189,2018-03-16
190,2018-03-17
191,2018-03-18
192,2018-03-19
193,2018-03-20
194,2018-03-21
195,2018-03-22
196,2018-03-23
197,2018-03-24
198,2018-03-25
199,2018-03-26
200,2018-03-27
201,2018-03-28
202,2018-03-29
203,2018-03-30
204,2018-03-31
205,2018-04-01
206,2018-04-02
207,2018-04-03
208,2018-04-04
209,2018-04-05
210,2018-04-06
211,2018-04-07
212,2018-04-08
213,2018-04-09
214,2018-04-10
215,2018-04-11
216,2018-04-12
217,2018-04-13
218,2018-04-14
219,2018-04-15
220,2018-04-16
221,2018-04-17
222,2018-04-18
223,2018-04-19
224,2018-04-20
225,2018-04-21
226,2018-04-22
227,2018-04-23
228,2018-04-24
229,2018-04-25
230,2018-04-26
231,2018-04-27
232,2018-04-28
233,2018-04-29
234,2018-04-30
235,2018-05-01
236,2018-05-02
237,2018-05-03
238,2018-05-04
239,2018-05-05
240,2018-05-06
241,2018-05-07
242,2018-05-08
243,2018-05-09
244,2018-05-10
245,2018-05-11
246,2018-05-12
247,2018-05-13
248,2018-05-14
249,2018-05-15
250,2018-05-16
251,2018-05-17
252,2018-05-18
253,2018-05-19
254,2018-05-20
255,2018-05-21
256,2018-05-22
257,2018-05-23
258,2018-05-24
259,2018-05-25
260,2018-05-26
261,2018-05-27
262,2018-05-28
263,2018-05-29
264,2018-05-30
265,2018-05-31
266,2018-06-01
267,2018-06-02
268,2018-06-03
269,2018-06-04
270,2018-06-05
271,2018-06-06
272,2018-06-07
273,2018-06-08
274,2018-06-09
275,2018-06-10
276,2018-06-11
277,2018-06-12
278,2018-06-13
279,2018-06-14
280,2018-06-15
281,2018-06-16
282,2018-06-17
283,2018-06-18
284,2018-06-19
285,2018-06-20
286,2018-06-21
287,2018-06-22
288,2018-06-23
289,2018-06-24
290,2018-06-25
291,2018-06-26
292,2018-06-27
293,2018-06-28
294,2018-06-29
295,2018-06-30
296,2018-07-01
297,2018-07-02
298,2018-07-03
299,2018-07-04
300,2018-07-05
301,2018-07-06
302,2018-07-07
303,2018-07-08
304,2018-07-09
305,2018-07-10
306,2018-07-11
307,2018-07-12
308,2018-07-13
309,2018-07-14
310,2018-07-15
311,2018-07-16
312,2018-07-17
313,2018-07-18
314,2018-07-19
315,2018-07-20
316,2018-07-21
317,2018-07-22
318,2018-07-23
319,2018-07-24
320,2018-07-25
321,2018-07-26
322,2018-07-27
323,2018-07-28
324,2018-07-29
325,2018-07-30
326,2018-07-31
327,2018-08-01
328,2018-08-02
329,2018-08-03
330,2018-08-04
331,2018-08-05
332,2018-08-06
333,2018-08-07
334,2018-08-08
335,2018-08-09
336,2018-08-10
337,2018-08-11
338,2018-08-12
339,2018-08-13
340,2018-08-14
341,2018-08-15
342,2018-08-16
343,2018-08-17
344,2018-08-18
345,2018-08-19
346,2018-08-20
347,2018-08-21
348,2018-08-22
349,2018-08-23
350,2018-08-24
351,2018-08-25
352,2018-08-26
353,2018-08-27
354,2018-08-28
355,2018-08-29
356,2018-08-30
357,2018-08-31
358,2018-09-01
359,2018-09-02
360,2018-09-03
361,2018-09-04
362,2018-09-05
363,2018-09-06
364,2018-09-07
365,2018-09-08
366,2018-09-09
367,2018-09-10
368,2018-09-11
369,2018-09-12
370,2018-09-13
371,2018-09-14
372,2018-09-15
373,2018-09-16
374,2018-09-17
375,2018-09-18
376,2018-09-19
377,2018-09-20
378,2018-09-21
379,2018-09-22
380,2018-09-23
381,2018-09-24
382,2018-09-25
383,2018-09-26
384,2018-09-27
385,2018-09-28
386,2018-09-29
387,2018-09-30
388,2018-10-01
389,2018-10-02
390,2018-10-03
391,2018-10-04
392,2018-10-05
393,2018-10-06
394,2018-10-07
395,2018-10-08
396,2018-10-09
397,2018-10-10
398,2018-10-11
399,2018-10-12
400,2018-10-13
401,2018-10-14
402,2018-10-15
403,2018-10-16
404,2018-10-17
405,2018-10-18
406,2018-10-19
407,2018-10-20
408,2018-10-21
409,2018-10-22
410,2018-10-23
411,2018-10-24
412,2018-10-25
413,2018-10-26
414,2018-10-27
415,2018-10-28
416,2018-10-29
417,2018-10-30
418,2018-10-31
419,2018-11-01
420,2018-11-02
421,2018-11-03
422,2018-11-04
423,2018-11-05
424,2018-11-06
425,2018-11-07
426,2018-11-08
427,2018-11-09
428,2018-11-10
429,2018-11-11
430,2018-11-12
431,2018-11-13
432,2018-11-14
433,2018-11-15
434,2018-11-16
435,2018-11-17
436,2018-11-18
437,2018-11-19
438,2018-11-20
439,2018-11-21
440,2018-11-22
441,2018-11-23
442,2018-11-24
443,2018-11-25
444,2018-11-26
445,2018-11-27
446,2018-11-28
447,2018-11-29
448,2018-11-30
449,2018-12-01
450,2018-12-02
451,2018-12-03
452,2018-12-04
453,2018-12-05
454,2018-12-06
455,2018-12-07
456,2018-12-08
457,2018-12-09
458,2018-12-10
459,2018-12-11
460,2018-12-12
